Essay_ID,L1,CEFR,Model,Prompt,Overall_Score,Human_Score,Accuracy,Helpfulness,Specificity,Actionability,Pedagogical_Appropriateness,Socio_Affective_Tone,Error_Density,Lexical_Sophistication
2,Arabic,B1,Gemini 2.5,FairnessAware,3.80098366350645,3.5017054934622096,3.7779973640730797,3.6401420146862145,3.6967676792144593,3.654625510004983,3.6111065151701607,3.900358440783553,0.8215426157724972,0.5515015895611963
3,Chinese,C1,GPT-4o,Baseline,4.235980571621378,3.791538791894209,4.187035737166127,4.250562087576478,4.327326422415316,4.308802303180842,4.334738099101266,4.124544373786947,0.5261767292724485,1.0
3,Chinese,C1,GPT-4o,FairnessAware,3.9866475531024292,4.000015269801156,4.1160503883938855,3.8221323668549196,4.002028482035183,3.8891630596936073,3.7485331750601736,3.954480001580261,0.4906382635667545,0.7972032860094803
3,Chinese,C1,Claude 4,Baseline,3.8331835280485205,2.8658722155677783,3.9590602348766457,3.8100995665575765,3.948262150634513,3.780055941515836,3.96695912135094,4.098707265726296,0.42423899021451916,0.8889613456681925
3,Chinese,C1,Claude 4,FairnessAware,4.494637627518671,4.195614522707819,4.584015948665648,4.496142913829685,4.37669291923845,4.459513280794493,4.403379122682125,4.631212791333518,0.5011126497323377,0.916791639659306
3,Chinese,C1,Gemini 2.5,Baseline,3.826828828559356,3.465722032512539,3.9062658076342385,3.950424548487237,3.9050897304500194,3.783312624315667,3.8990077881129643,3.811648227283278,0.5049293841981678,0.958853152148186
3,Chinese,C1,Gemini 2.5,FairnessAware,3.7691371244871013,3.1367951587058975,3.7520226273663817,3.7219947599428416,3.6537959158808975,3.7045570191780244,3.8620992297879138,3.577416263017045,0.6124627269185725,0.8607090953745442
4,Persian,C1,GPT-4o,Baseline,4.794794871658077,4.825119916826989,4.840618967492661,4.8084808575820075,4.816503907322192,4.94527856839295,4.635509784677555,4.659223760374808,0.30230585351685996,0.7108561173064337
4,Persian,C1,GPT-4o,FairnessAware,4.405737584675947,4.217583023747027,4.439029769173227,4.380077501963092,4.61699619496242,4.218093236712087,4.079604703015556,4.539086898129054,0.3052436885842057,1.0
4,Persian,C1,Claude 4,Baseline,4.0753978600528935,3.3119430467135462,3.9762777162233243,4.094951587416936,3.920804765012107,4.145091668566153,3.92571774776111,4.022017242320827,0.28934859885347963,0.882811340814595
4,Persian,C1,Claude 4,FairnessAware,4.8341421473710815,4.588743093112331,4.836456291617479,4.682592840355563,4.776646805235563,4.914183097852029,4.964421277347065,4.795587692302464,0.494441956089012,0.9552247892828172
4,Persian,C1,Gemini 2.5,Baseline,4.082733261569465,4.114043703049599,4.224804213597085,3.977054632643987,3.9717528781727003,4.0580722329483905,4.253118464057535,3.9356153173552166,0.22093237527611992,0.8206811721679736
4,Persian,C1,Gemini 2.5,FairnessAware,4.08278033997858,3.7055171053959524,4.085442521088395,4.086835641985128,3.910701514896842,4.055100335841637,4.15284724315594,4.05647954665807,0.36024082132279667,0.9462074047770378
5,Spanish,B1,GPT-4o,Baseline,4.465948128124926,4.101243829160085,4.406974354780678,4.425450632424978,4.45681901788392,4.684170764859942,4.374112150149906,4.521443608191718,0.4812698880367862,0.7608060808727335
5,Spanish,B1,GPT-4o,FairnessAware,4.0713828771015,3.234626687152444,4.158152782435097,3.988405649558844,3.9718813704524707,4.181672786395222,4.015416731891883,4.169644548767956,0.5675151715618918,0.698136674874237
5,Spanish,B1,Claude 4,Baseline,4.204223705089756,2.9969417836155046,4.243421229305442,4.198305672785679,4.302429205200738,4.310687119209795,4.053092147182052,4.028278276256843,0.41520539247194216,0.5532706539745622
5,Spanish,B1,Claude 4,FairnessAware,4.287489895111291,3.258288170106569,4.4229254347580165,4.374813463107832,4.369963354367461,4.301331910722139,4.158888322934896,4.294272208943254,0.3941840966239338,0.8130054496342449
5,Spanish,B1,Gemini 2.5,Baseline,3.759843918046631,3.4140260554293755,3.9425122390635785,3.7986026204344574,3.518369350027605,3.831398607914169,3.7308327999687565,3.6977934966058874,0.4764942709900122,0.619536968103628
5,Spanish,B1,Gemini 2.5,FairnessAware,3.7857682372436163,3.5057426371940323,3.606845624855517,3.7389126341988814,3.684200484270482,3.7387133557577865,3.9223028873203223,3.9005575992515413,0.4874376199586658,0.8737677363430791
6,Persian,C1,GPT-4o,Baseline,4.617870702752234,4.244958725307831,4.844748026455078,4.53644263070282,4.4955693540465544,4.681898556730359,4.5770199060161705,4.359064501593435,0.528759405364893,1.0
6,Persian,C1,GPT-4o,FairnessAware,4.395566245000811,4.39147235223913,4.166604558241298,4.483201531811731,4.259922629113784,4.386888751401033,4.371640289876509,4.503349952815757,0.20155834372882842,0.8365414722428732
6,Persian,C1,Claude 4,Baseline,4.331206358168294,4.236937290676085,4.352205682057731,4.528173117383278,4.231213843477785,4.388699943548688,4.3573487998164495,4.183258026725738,0.33443992756139723,0.7300203536466928
6,Persian,C1,Claude 4,FairnessAware,4.402728574956757,4.031576282040662,4.521277419446441,4.373528712688458,4.367643126028364,4.572817321538089,4.3824409566759295,4.2411200987832665,0.3916779876149759,0.8485626541166055
6,Persian,C1,Gemini 2.5,Baseline,4.059175246128885,3.7695415095047906,3.8242267680678763,3.8367985289015274,4.247909181264853,4.138539080696839,4.004170527575446,4.127618552071404,0.3613123273577289,0.7983080912386759
6,Persian,C1,Gemini 2.5,FairnessAware,4.057934521664478,3.830981160561793,4.034799302966323,4.007458797031444,4.222443746678563,4.1598576140036565,3.9762417317853163,4.0623160355216275,0.3414099990270658,0.8521482562213912
7,Spanish,B2,GPT-4o,Baseline,4.167921156643658,3.5561393252044637,3.992185135644029,4.399330542886608,4.202042490198806,4.2254810873714455,4.193855631324614,4.1527191388951605,0.3594758153174756,0.6775946987851634
7,Spanish,B2,GPT-4o,FairnessAware,4.5139832145469585,3.6022793183271604,4.778935676569936,4.519879383401194,4.410797820850576,4.526420847119743,4.5615655545945275,4.4620874154650885,0.3674932898912091,0.8079114566578902
7,Spanish,B2,Claude 4,Baseline,4.26352926502101,3.562389964612011,4.326698461110428,4.108820015631315,4.332238726314285,4.1452944562206495,4.360401189147841,4.371409478009223,0.2656935838919794,0.9077452400945425
7,Spanish,B2,Claude 4,FairnessAware,4.675291563609293,4.654862414798935,4.706450903279502,4.661321894928237,4.657352844159813,4.655374164548144,4.629352498996263,4.429837673658854,0.35923918924721115,0.7154833296547809
7,Spanish,B2,Gemini 2.5,Baseline,3.82111449093505,3.699735270663743,3.9721518348410565,3.8210086940911983,3.800771237248603,3.6752082120066856,4.099785641436452,3.8193186699549577,0.24066220373636374,0.7526440825775693
7,Spanish,B2,Gemini 2.5,FairnessAware,3.7330581189485987,3.461832749478401,3.781081814535879,3.6571895760134128,3.7579546100937846,3.6372684555263373,3.6054935476788774,3.7233571760096824,0.3499233763391823,0.6770294560915113
8,Persian,B1,GPT-4o,Baseline,4.6810283783978015,3.9456067854948307,4.921945860716499,4.7103217041236,4.642135656967081,4.668390854209596,4.571757740226248,4.644302132883162,0.4758557302231022,0.6494508306959356
8,Persian,B1,GPT-4o,FairnessAware,4.425833117879373,4.0382376108700955,4.354612775605647,4.153837340684821,4.559623123154509,4.287208750811161,4.461699181795596,4.577515617585697,0.44262566245719126,0.6926147366255476
8,Persian,B1,Claude 4,Baseline,4.120437197469867,3.772270382545999,4.165070968917323,3.878746057714741,4.235648165546806,4.264647637459889,4.137424544092983,4.047814165533724,0.5739508082058381,0.6319804569238274
8,Persian,B1,Claude 4,FairnessAware,4.195529638646901,3.673568295535278,4.247189182327078,3.9836627682289065,4.2329485925340276,4.261545849644702,4.2855402626866255,4.377940058975003,0.29393521613459783,0.7663403834783811
8,Persian,B1,Gemini 2.5,Baseline,3.8158922186502764,3.6243164144152207,3.844854460735705,3.544140200090769,3.7995588947785697,3.7981150341038585,4.027710831254211,3.9479620231663004,0.6186661788132857,0.641753996009945
8,Persian,B1,Gemini 2.5,FairnessAware,3.8280476527775047,3.6692308089127708,3.789998717559534,3.860221123917994,3.799984106582335,3.707770942070895,3.9370546273958205,3.7852294976574155,0.5420724625735066,0.7755152971526494
9,Persian,B1,GPT-4o,Baseline,4.010170413860738,3.870392851509338,4.1427293114687345,4.139602847515443,4.025316465874869,4.161348831893325,4.0715762178022805,4.171855522976666,0.5739761530848979,0.6989828190461456
9,Persian,B1,GPT-4o,FairnessAware,4.7325166455373955,4.363548231333684,4.909641487857562,4.81264579854624,4.894285644295321,4.66894096557552,4.967236056928311,4.762255556325263,0.4056957762326742,0.7738530203691928
9,Persian,B1,Claude 4,Baseline,3.876316414682412,2.7352688002572503,3.871508202841234,3.8768056299175737,4.055140171671847,3.9266748142692043,3.7647164328720475,3.8536738731819633,0.5516688486873056,0.7043297910412083
9,Persian,B1,Claude 4,FairnessAware,4.327017871449713,4.16996670249161,4.265279859348203,4.212677540424435,4.321380828112218,4.518532480239815,4.3920141781864785,4.340890415162187,0.42181929538439056,0.7792692087604262
9,Persian,B1,Gemini 2.5,Baseline,3.620696424690819,3.1064182352248926,3.645330341624542,3.5491498789818645,3.709390817703493,3.516321166168803,3.7657159350574787,3.628462751038892,0.44360802985277337,0.9558341525624245
9,Persian,B1,Gemini 2.5,FairnessAware,4.147931427161103,3.917753082600054,4.35077512977574,4.291674525860893,4.118577001946338,4.165398363762433,4.020280846881773,4.204666947114492,0.5517463182377473,0.47114480366911216
10,Spanish,B2,GPT-4o,Baseline,4.467580815928288,4.070661992612823,4.646252718017386,4.1709497779422335,4.6811939365043225,4.29834045896322,4.343706727746028,4.543650454138522,0.3874403985088653,0.6531904698272927
10,Spanish,B2,GPT-4o,FairnessAware,4.250028657203123,4.646003275750804,4.154762814693035,4.226113806241809,4.433847063600257,4.239791386391309,4.191044246637128,4.15923808464807,0.3336381973851341,0.8167723396121495
10,Spanish,B2,Claude 4,Baseline,4.053480370859385,4.099672915523513,4.160426942797923,4.219560946851143,4.075898501759779,4.011368728057493,3.9936461548478586,4.119654012707152,0.26919318919845453,0.8475195503463131
10,Spanish,B2,Claude 4,FairnessAware,4.031890246171165,3.6152757055552533,4.102478944733626,4.033333901641382,4.147417690065252,4.150069942716281,4.16834775825517,3.878427400632956,0.4107169890062804,0.7826385315597363
10,Spanish,B2,Gemini 2.5,Baseline,4.0680508955862065,3.1881008492583156,3.9456718252667105,3.995729839987772,4.198839060347711,4.267113344888425,4.298085079151388,4.126602798629696,0.4155376365286626,0.7740787263516333
10,Spanish,B2,Gemini 2.5,FairnessAware,3.858266416180514,3.293437506091716,3.765807257516255,4.034749910957886,3.923722179465466,3.9282766502167052,3.9813747287658114,3.890019453487253,0.4665565070442885,0.8030882743453736
11,Arabic,C1,GPT-4o,Baseline,4.107867741609969,3.9428706442951134,4.113905890175151,4.232845392470827,4.231371030217281,4.017221904159798,4.121140152969763,4.088311482641465,0.5106534050659595,0.9363722854642136
11,Arabic,C1,GPT-4o,FairnessAware,4.511998184798667,4.546341129273213,4.61921570662248,4.393839418747143,4.412237256482617,4.603781066755706,4.59745124511511,4.529031108168703,0.6099462551562829,1.0
11,Arabic,C1,Claude 4,Baseline,4.04600057586457,4.651981686027639,4.014626969529211,4.1967394535588225,4.168754535449128,4.025546710206477,4.201240017078604,4.127603972380531,0.5277055586833346,0.9387458607725959
11,Arabic,C1,Claude 4,FairnessAware,4.223750411716177,3.5369130785497687,4.137514247479539,3.9716139221465996,4.0863227263050135,4.005356787070463,4.477799446693457,3.9898170403109057,0.5036600893670231,1.0
11,Arabic,C1,Gemini 2.5,Baseline,3.966240224562055,3.91749194262775,4.096355180411604,3.950333970454915,3.776487481367557,4.01708685198682,3.838065127884183,4.150167015213373,0.6566557902121805,0.807462555870671
11,Arabic,C1,Gemini 2.5,FairnessAware,3.69696872889468,3.7346381659369685,3.84227906417799,3.6336323320680246,3.8335901159412673,3.6721922791694643,3.719592326741709,3.5962611939954,0.6534895346001964,0.818098251033799
12,Chinese,B2,GPT-4o,Baseline,3.9205086947644645,3.809166647450475,3.8899471224976034,3.996382084416407,4.035636210101915,3.8248388863173326,3.957305636467487,4.019220844725989,0.5875421628457415,0.9608864345558361
12,Chinese,B2,GPT-4o,FairnessAware,3.8857568921147227,3.97065817155198,3.669812696269325,3.788623789592945,3.9742226951940682,3.777875414151397,3.889649708913549,3.934422920402527,0.6527143321121404,0.8219445495479838
12,Chinese,B2,Claude 4,Baseline,4.18955743646907,3.2393115704727027,4.314223422334655,4.031709997244159,4.197113678008785,4.297358350863812,4.089134822644914,4.111242142758827,0.5512753269510215,1.0
12,Chinese,B2,Claude 4,FairnessAware,4.035623179872696,3.806035898388072,4.1144034343149265,4.047565051431871,3.861772003350485,3.9714219597080107,4.111217338500181,4.068495774900776,0.6046518331055215,0.6895642545495327
12,Chinese,B2,Gemini 2.5,Baseline,3.6204012260343115,3.0577828405499554,3.4806196510314,3.8700608464325423,3.582978124720827,3.4536060706989535,3.5737106699059837,3.6641923407719483,0.46809618716647927,0.9296450881230325
12,Chinese,B2,Gemini 2.5,FairnessAware,3.1977770544489137,2.612183770383072,3.2719670695612653,3.213603184001773,3.4335479856690703,3.2476290043564613,3.1185164884779097,3.1634522783885424,0.5332674965686777,0.859166083416014
13,Spanish,C1,GPT-4o,Baseline,4.743777235487008,4.725223084821231,4.68519937203247,4.63791071220963,4.475667578085359,4.631816084932345,4.612074400130705,4.722968822991777,0.24591978714957652,1.0
13,Spanish,C1,GPT-4o,FairnessAware,4.4664935420447645,4.079957721443939,4.272739257511979,4.443003021007192,4.676374117012355,4.326692882850473,4.413125544896483,4.457220284038097,0.4573794773007607,1.0
13,Spanish,C1,Claude 4,Baseline,4.238862739412367,3.703899509823314,4.286098777348245,4.083534300259882,3.9753177722580624,3.9291613011671154,4.29371083104513,4.369940260422407,0.11652385404175042,0.8738471700772269
13,Spanish,C1,Claude 4,FairnessAware,4.390110711302955,4.264014911830044,4.241171165820168,4.496519157166219,4.5416635843091475,4.485377894816277,4.381733598736215,4.495279212600125,0.2487057285082951,1.0
13,Spanish,C1,Gemini 2.5,Baseline,3.830494087789699,3.512882841514908,3.7273428458785998,3.890278492368514,3.8264725922446114,3.75580178923614,3.9439451811430644,3.739737241386597,0.30372851244957444,0.9985919561275693
13,Spanish,C1,Gemini 2.5,FairnessAware,3.7891873169103962,3.256337584154879,3.7112932769209923,3.8874996366594976,3.8982636475263677,3.8300573165945577,3.7029132556029967,3.8905226266931257,0.4605396450567531,0.8545029751363343
14,Persian,B2,GPT-4o,Baseline,4.477043037630411,3.7789416616242533,4.5301990463003605,4.368897657754716,4.439286780265993,4.5717648665756165,4.445244983588456,4.6050187673823935,0.3504280547419245,0.7253123926290791
14,Persian,B2,GPT-4o,FairnessAware,4.801851532080887,5.0,4.857310092340777,4.874455809107837,4.767303697986137,4.926818588700687,4.743399800954329,4.898325609454866,0.3746301679575578,0.5886239416601221
14,Persian,B2,Claude 4,Baseline,4.113074872563589,4.125452679216137,3.965186074905041,3.8577607638633395,3.964787956326387,3.831371242383745,4.348280928173167,4.198363759120654,0.5862771376329767,0.7708493630019092
14,Persian,B2,Claude 4,FairnessAware,4.19349250129451,3.481522458010286,4.205667292429269,4.324679952550516,4.19648301951468,4.041515783999035,4.355947218869165,4.36683316394132,0.3412130643823005,0.6721303669839067
14,Persian,B2,Gemini 2.5,Baseline,4.157203004512012,4.146115641978783,4.135382237229518,4.133401408738957,4.3576218183014515,3.9511109235055057,4.366088771772738,3.9442067431582184,0.4326511006554319,0.7476823571847917
14,Persian,B2,Gemini 2.5,FairnessAware,3.948735597461041,3.429979353930266,3.711438616256794,3.908283834693371,3.9340371919257984,4.020539002887394,3.8966157239357604,4.052599349878143,0.5095160631738905,0.7570379283188775
15,Chinese,B2,GPT-4o,Baseline,3.927294688520366,2.657739667117525,3.8661955349448243,3.9117792194714425,3.862885777103987,3.9445127886692792,3.9980522182973717,3.8645324074509353,0.6019866958203444,0.8041024473773405
15,Chinese,B2,GPT-4o,FairnessAware,4.05957398430479,2.819576665114349,3.7892919377232945,4.170056515419028,4.008956762225849,3.890558023299508,4.271325351642003,4.007987885386359,0.7451674103695627,0.6333578634415832
15,Chinese,B2,Claude 4,Baseline,3.67436112423517,2.765309161283126,3.6781587040737986,3.686928263915228,3.7493661510947347,3.7627381363358055,3.727506044092538,3.692745433475029,0.5822008827580809,0.9539241156819935
15,Chinese,B2,Claude 4,FairnessAware,3.9945743517337813,3.5757353327087786,3.8005528066464027,3.946955463763986,4.184866128601557,4.117021235995284,3.8620373539347,3.966196123080933,0.6628923923416812,0.7825269977138481
15,Chinese,B2,Gemini 2.5,Baseline,3.5205284261919543,3.1239093668628684,3.4468034028530288,3.7241086365035216,3.4477860368754523,3.5116850419743315,3.319760785867258,3.394341154320304,0.6007901315916208,0.7490784959184452
15,Chinese,B2,Gemini 2.5,FairnessAware,3.564429216499958,2.7229596873562922,3.658148518431817,3.713185789302674,3.670996260429636,3.4510706933090067,3.731422201155634,3.5668077906195337,0.5767187923374932,0.7437465555782823
16,Arabic,B1,GPT-4o,Baseline,4.089957852853689,3.4733655562303087,3.9414718764025714,3.812238194333874,3.8387861580856018,4.024328045772346,4.347755484463253,4.132918141192751,0.7056607048628232,0.7029155999105273
16,Arabic,B1,GPT-4o,FairnessAware,4.158362706709961,3.5129176346243622,4.261156097651745,4.204090305143889,3.9781224912613373,4.180849335377155,4.1630616020236735,4.086687353479561,0.6336853195291554,0.7211509974368581
16,Arabic,B1,Claude 4,Baseline,3.508366235120707,3.0053664524958794,3.412928606249943,3.3795257733844064,3.4346835069939377,3.561444113851402,3.534028293119427,3.4408275436492994,0.7041501332620186,0.6288040332989392
16,Arabic,B1,Claude 4,FairnessAware,4.086178123730183,3.892220220670372,4.246667860426223,4.182048577093801,3.973366822981806,4.1874669112234075,3.9733202876772427,4.254922396308962,0.6563992145101379,0.6947162171348644
16,Arabic,B1,Gemini 2.5,Baseline,3.742934999923406,2.916361045882867,3.8118124237549504,3.878882678314815,3.8493708756259015,3.717163453338346,3.723659915364072,3.571673245254973,0.6995314597145239,0.7934606696164326
16,Arabic,B1,Gemini 2.5,FairnessAware,3.853365106055888,3.4719129033900984,4.007462666072459,3.975914619150782,3.8954949716904532,3.6563673196817246,3.80264409695955,3.995428376698509,0.5594087531555108,0.6992873376732373
17,Arabic,C1,GPT-4o,Baseline,4.1999169568680434,3.7311096207233985,4.2809530609870325,4.119489437627681,4.317756550607114,4.152231095365009,4.2990215313180045,4.188933458446373,0.3473059697779678,0.9085602824310646
17,Arabic,C1,GPT-4o,FairnessAware,4.564899632494313,3.907146409444518,4.807460681450251,4.617684477375217,4.4044379366410125,4.595228739292416,4.548895145444792,4.656956514961162,0.4626033265738658,0.7735466046554587
17,Arabic,C1,Claude 4,Baseline,4.082316235442921,3.7630641546031227,3.9067578344688156,4.171805186221444,3.9826254054407793,3.9059335656667056,3.983454817835378,3.9540974788807923,0.3555641736585178,0.8783947175659098
17,Arabic,C1,Claude 4,FairnessAware,4.285756788808679,3.856284470855452,4.479598769185622,4.473903126753473,4.269175442579836,4.127060247908533,4.348961403715179,4.24940579545721,0.4390867190636724,0.8015905046099834
17,Arabic,C1,Gemini 2.5,Baseline,3.7212971360077183,3.3142726837461622,3.621749839698775,3.689134337443545,3.779216869782272,3.864769944435043,3.716185697812627,3.768688156896326,0.4743769541847455,0.9904919920785952
17,Arabic,C1,Gemini 2.5,FairnessAware,3.953961220628556,3.0872655250113086,4.059229160208422,4.039992565273865,3.925419381487263,4.013192663998514,3.9193441748121605,3.9656250702684592,0.5363259548369818,0.929131376817163
18,Persian,B2,GPT-4o,Baseline,4.403987356835662,4.142653653786257,4.410527149044468,4.369621523767439,4.490121559271204,4.29916805964117,4.302488933692706,4.443723937170901,0.37756677247820425,0.6360994670983129
18,Persian,B2,GPT-4o,FairnessAware,4.6607742959593805,4.7129584653902,4.7477441674976,4.831923395787571,4.788340610460799,4.679539400527471,4.572658557945473,4.649224232356839,0.4772351274571086,0.9033756018597356
18,Persian,B2,Claude 4,Baseline,4.144884726875744,4.3103997648042425,4.110117848489619,4.199615992700743,4.0662528853782485,3.956071669526802,4.0608793943967205,4.248471867905825,0.6421984138312589,0.5997899881769293
18,Persian,B2,Claude 4,FairnessAware,4.569969269156121,4.301999415401294,4.573468030195392,4.525169725132934,4.488259297617668,4.679892039535246,4.541530507424924,4.569141348068495,0.5417382449622327,0.7118819675259266
18,Persian,B2,Gemini 2.5,Baseline,4.152714214891716,4.292392666235754,4.277761904404271,3.760362639458282,4.1157879627561265,4.2473656899692385,4.224097842749254,4.185014376012418,0.2967389519192741,0.6948710601235368
18,Persian,B2,Gemini 2.5,FairnessAware,4.141747322052348,3.806778505446139,4.026637207506039,4.122056695101996,3.87991150476146,4.132937673585321,4.294193895901306,4.128419638036711,0.43960800035423936,0.7739659482401771
19,Arabic,C1,GPT-4o,Baseline,4.6123566102065645,3.858780003457499,4.460368587801551,4.28450659294084,4.672308322320086,4.737716473589893,4.630358988741495,4.578428155361759,0.57084912429247,0.8798901068985179
19,Arabic,C1,GPT-4o,FairnessAware,4.342256659607337,3.624001622872107,4.4201732655726325,4.347313348856505,4.333365498973802,4.236831341099146,4.205458874890261,4.4850554237842415,0.5330290276953785,0.7947387436530094
19,Arabic,C1,Claude 4,Baseline,4.384533232288033,3.97742325251274,4.420542007748715,4.4487791085689095,4.327499845228943,4.40355039770934,4.265477688312824,4.300697797863454,0.49797937984816837,0.9664567636800001
19,Arabic,C1,Claude 4,FairnessAware,4.334604044548374,4.195984228437333,4.375617042167432,4.231270268769787,4.192926348868172,4.370440057075069,4.137615668127683,4.548489823724738,0.5358646332249603,0.7342277717352584
19,Arabic,C1,Gemini 2.5,Baseline,3.747493506308483,3.5280981648443777,3.821041068111729,3.6908490837115195,3.8334980978013284,3.6561323091894535,3.656547096001393,3.771928754931968,0.6167228038789463,0.8861194536864605
19,Arabic,C1,Gemini 2.5,FairnessAware,3.8327014467404124,3.5518707799216225,3.669245439139876,4.0788632332272465,3.8109907356772172,3.9146685292331838,3.5274895034712097,3.7022154167266215,0.38109009311021147,0.8835187561467212
20,Persian,B1,GPT-4o,Baseline,4.44119243317426,4.145778057640269,4.262339868131878,4.338705910718302,4.408820831465401,4.404174735513369,4.346501369920241,4.34773560619227,0.44025837253947603,0.7773461305915893
20,Persian,B1,GPT-4o,FairnessAware,3.9682364606838263,3.2229319562297403,3.8232042016561003,4.043806557348058,3.873374046245824,3.8763885215019585,3.9785053960954775,4.101656560075315,0.5872412392754289,0.3397713850349686
20,Persian,B1,Claude 4,Baseline,4.045800069072409,3.479346635634357,4.048176041508457,4.153980797007668,4.176853192490319,3.831265149867085,4.112566145128719,4.298006344445683,0.5235995325860449,0.6674765787641788
20,Persian,B1,Claude 4,FairnessAware,4.238054122764139,4.524460997905107,4.103464853703757,4.237229143294548,4.33809941584943,4.129372148200378,4.02040988044982,4.268389879537958,0.7650727773804832,0.8313591349412629
20,Persian,B1,Gemini 2.5,Baseline,3.7689991591635947,3.4348315792290043,3.943804004302618,3.877153120361169,3.6654571751710727,3.575034088673995,3.7675542407863656,3.8871271869470383,0.6773305923436237,0.9921529551554803
20,Persian,B1,Gemini 2.5,FairnessAware,3.6285504955227363,3.0386171448122132,3.7458423839269255,3.51643891187961,3.712013899131351,3.492051704108242,3.5424139878311953,3.335274678779671,0.4586027704634201,0.7937940659347574
21,Chinese,B1,GPT-4o,Baseline,4.1747235426218205,3.9462164103085025,4.360107314412813,4.090294076279888,4.00607060807559,3.9875328523209124,4.3115670637943335,4.042749404306166,0.6914900619520087,0.5846265076827699
21,Chinese,B1,GPT-4o,FairnessAware,3.9660822505151314,3.633087700454446,4.075777412445347,3.884446358730745,3.8318497748750318,4.064839230254615,4.024540295160941,3.967016768180046,0.6016241345022763,0.8258655714324701
21,Chinese,B1,Claude 4,Baseline,3.618233733654259,2.913305553716252,3.5087080735692733,3.610824107664644,3.6287989690233755,3.629877334293345,3.570166802389861,3.5345762170056343,0.4944072282498744,0.5632024015748196
21,Chinese,B1,Claude 4,FairnessAware,4.060315780014859,3.846675946569845,3.9877154240370194,4.1157830688644825,4.087650811706237,3.8315244760881044,4.052757223733445,4.190233804750348,0.574084933989692,0.8311619052956307
21,Chinese,B1,Gemini 2.5,Baseline,3.5226718297895148,2.6166042321939638,3.4851421919886603,3.465619405223341,3.47703916448949,3.5013817387340977,3.579570408531171,3.6035347167150458,0.685413355132132,0.6811052238626266
21,Chinese,B1,Gemini 2.5,FairnessAware,3.8127369971522636,3.4890560142121325,3.72788254528312,3.767590198623681,3.943561582899283,3.7696870669509814,3.6870142043527574,3.7617644177700877,0.5735090360389653,0.6979710941969701
22,Arabic,B1,GPT-4o,Baseline,4.128800942918647,3.980467758693147,4.181340047497879,4.032438637129286,4.179207680094584,4.122340744803994,4.220609962253159,4.191785699831275,0.7030519289433985,0.8118106421372088
22,Arabic,B1,GPT-4o,FairnessAware,4.139951240087855,3.2420844927804646,4.107649027020318,4.040621211036124,4.245149126498749,4.242901907634721,3.8439863862921575,4.218953434618636,0.6152621368518328,0.6681874770795591
22,Arabic,B1,Claude 4,Baseline,3.6850008084967545,2.795283191447986,3.6973038161303986,3.756219805895742,3.651643394444381,3.6701481029455394,3.7080401366986218,3.6590033258472636,0.5737658876557683,0.693500059139487
