Essay_ID,L1,CEFR,Error_Density,Lexical_Sophistication,Model,Prompt,Accuracy,Helpfulness,Specificity,Actionability,Pedagogical_Appropriateness,Socio_Affective_Tone,Overall_Score
4,Persian,B1,7.16,113.6,GPT-4o,Baseline,4.18,4.25,3.89,4.16,4.37,3.98,4.14
4,Persian,B1,7.16,113.6,GPT-4o,FairnessAware,4.68,4.66,4.31,4.35,4.67,4.69,4.56
4,Persian,B1,7.16,113.6,Claude4,Baseline,4.42,4.17,4.25,4.31,4.21,4.65,4.34
4,Persian,B1,7.16,113.6,Claude4,FairnessAware,4.35,4.52,4.23,4.54,4.65,4.4,4.45
4,Persian,B1,7.16,113.6,Gemini2.5,Baseline,4.41,4.37,4.48,4.21,4.18,4.21,4.31
4,Persian,B1,7.16,113.6,Gemini2.5,FairnessAware,3.79,3.76,3.7,3.83,3.76,4.02,3.81
5,Persian,B2,6.19,94.59,GPT-4o,Baseline,4.31,4.07,3.99,4.04,4.22,4.1,4.12
5,Persian,B2,6.19,94.59,GPT-4o,FairnessAware,5.01,4.7,4.56,4.68,4.91,4.87,4.79
5,Persian,B2,6.19,94.59,Claude4,Baseline,4.76,4.44,4.23,4.56,4.46,4.63,4.51
5,Persian,B2,6.19,94.59,Claude4,FairnessAware,4.59,4.84,4.72,4.54,4.73,4.77,4.7
5,Persian,B2,6.19,94.59,Gemini2.5,Baseline,4.15,4.13,3.87,4.12,4.12,4.05,4.07
5,Persian,B2,6.19,94.59,Gemini2.5,FairnessAware,3.98,3.83,4.03,3.92,4.1,4.07,3.99
6,Persian,B2,10.37,75.65,GPT-4o,Baseline,4.5,4.24,4.02,4.13,4.39,4.23,4.25
6,Persian,B2,10.37,75.65,GPT-4o,FairnessAware,4.66,4.46,4.83,4.65,4.3,4.68,4.6
6,Persian,B2,10.37,75.65,Claude4,Baseline,4.18,3.83,3.88,4.02,4.13,3.87,3.98
6,Persian,B2,10.37,75.65,Claude4,FairnessAware,4.17,4.04,4.36,4.2,4.0,4.38,4.19
6,Persian,B2,10.37,75.65,Gemini2.5,Baseline,4.91,4.42,4.53,4.84,4.6,4.82,4.69
6,Persian,B2,10.37,75.65,Gemini2.5,FairnessAware,4.22,4.25,3.72,4.11,4.27,4.17,4.12
7,Persian,B2,12.09,110.88,GPT-4o,Baseline,4.39,4.36,4.66,4.42,4.54,4.42,4.46
7,Persian,B2,12.09,110.88,GPT-4o,FairnessAware,4.7,4.52,4.17,4.69,4.46,4.92,4.58
7,Persian,B2,12.09,110.88,Claude4,Baseline,4.53,4.49,4.35,4.35,4.5,4.65,4.48
7,Persian,B2,12.09,110.88,Claude4,FairnessAware,4.1,4.04,4.19,4.32,4.2,4.28,4.19
7,Persian,B2,12.09,110.88,Gemini2.5,Baseline,3.92,3.77,3.53,3.42,3.56,3.69,3.65
7,Persian,B2,12.09,110.88,Gemini2.5,FairnessAware,4.73,4.33,4.29,4.44,4.45,4.64,4.48
8,Persian,C1,10.36,91.28,GPT-4o,Baseline,4.59,4.53,4.55,4.39,4.88,4.46,4.57
8,Persian,C1,10.36,91.28,GPT-4o,FairnessAware,4.33,4.17,4.1,4.15,4.1,4.02,4.15
8,Persian,C1,10.36,91.28,Claude4,Baseline,4.2,4.35,4.13,4.08,4.21,4.37,4.22
8,Persian,C1,10.36,91.28,Claude4,FairnessAware,4.04,4.1,4.05,3.99,4.04,4.2,4.07
8,Persian,C1,10.36,91.28,Gemini2.5,Baseline,3.29,3.3,3.32,3.45,3.67,3.63,3.44
8,Persian,C1,10.36,91.28,Gemini2.5,FairnessAware,4.03,3.78,3.88,3.89,4.03,3.91,3.92
9,Persian,C1,9.99,96.07,GPT-4o,Baseline,3.87,3.84,3.91,3.9,4.09,4.07,3.95
9,Persian,C1,9.99,96.07,GPT-4o,FairnessAware,4.94,4.56,4.38,4.78,4.73,4.87,4.71
9,Persian,C1,9.99,96.07,Claude4,Baseline,4.39,3.92,4.21,4.12,3.99,4.4,4.17
9,Persian,C1,9.99,96.07,Claude4,FairnessAware,3.44,3.68,3.66,3.77,3.79,3.95,3.72
9,Persian,C1,9.99,96.07,Gemini2.5,Baseline,4.24,4.14,4.06,4.2,4.04,4.31,4.16
9,Persian,C1,9.99,96.07,Gemini2.5,FairnessAware,4.1,4.0,3.54,3.82,3.99,4.05,3.92
10,Persian,C1,9.01,95.56,GPT-4o,Baseline,4.44,4.08,4.17,4.26,4.37,4.45,4.3
10,Persian,C1,9.01,95.56,GPT-4o,FairnessAware,3.96,4.28,4.09,3.97,4.37,4.2,4.15
10,Persian,C1,9.01,95.56,Claude4,Baseline,4.7,4.9,4.81,4.56,4.79,4.79,4.76
10,Persian,C1,9.01,95.56,Claude4,FairnessAware,4.69,4.84,4.85,4.48,4.61,4.53,4.67
10,Persian,C1,9.01,95.56,Gemini2.5,Baseline,4.02,4.04,3.78,4.06,3.66,3.66,3.87
10,Persian,C1,9.01,95.56,Gemini2.5,FairnessAware,4.13,3.97,3.61,3.96,3.82,4.17,3.94
11,Persian,B1,6.8,100.85,GPT-4o,Baseline,4.72,4.97,4.56,4.59,4.64,4.64,4.69
11,Persian,B1,6.8,100.85,GPT-4o,FairnessAware,4.17,4.26,4.24,3.94,4.32,4.39,4.22
11,Persian,B1,6.8,100.85,Claude4,Baseline,4.64,4.49,4.22,4.25,4.5,4.38,4.41
11,Persian,B1,6.8,100.85,Claude4,FairnessAware,4.29,3.78,3.69,3.5,4.01,3.78,3.84
11,Persian,B1,6.8,100.85,Gemini2.5,Baseline,4.17,3.77,3.88,4.15,3.6,3.9,3.91
11,Persian,B1,6.8,100.85,Gemini2.5,FairnessAware,3.75,3.67,3.46,3.58,3.61,3.72,3.63
12,Persian,C1,12.37,105.58,GPT-4o,Baseline,4.72,4.41,4.22,4.63,4.53,4.34,4.47
12,Persian,C1,12.37,105.58,GPT-4o,FairnessAware,4.38,4.21,4.5,4.7,4.25,4.6,4.44
12,Persian,C1,12.37,105.58,Claude4,Baseline,3.98,3.86,3.77,3.96,3.88,4.09,3.92
12,Persian,C1,12.37,105.58,Claude4,FairnessAware,4.31,4.11,4.11,4.36,4.37,4.2,4.24
12,Persian,C1,12.37,105.58,Gemini2.5,Baseline,4.16,3.69,3.98,3.85,4.08,3.93,3.95
12,Persian,C1,12.37,105.58,Gemini2.5,FairnessAware,3.21,3.37,3.35,3.22,3.5,3.21,3.31
13,Persian,B1,14.57,75.67,GPT-4o,Baseline,4.39,4.26,4.41,4.51,4.51,4.34,4.4
13,Persian,B1,14.57,75.67,GPT-4o,FairnessAware,4.83,4.85,4.98,5.01,5.12,5.34,5.02
13,Persian,B1,14.57,75.67,Claude4,Baseline,4.26,4.05,4.18,4.09,4.14,4.32,4.17
13,Persian,B1,14.57,75.67,Claude4,FairnessAware,4.39,4.68,4.53,4.76,4.63,4.92,4.65
13,Persian,B1,14.57,75.67,Gemini2.5,Baseline,3.44,3.83,3.5,3.44,3.73,3.74,3.61
13,Persian,B1,14.57,75.67,Gemini2.5,FairnessAware,4.51,4.29,4.1,4.32,4.35,4.46,4.34
14,Persian,B2,9.68,90.02,GPT-4o,Baseline,5.06,4.65,4.61,4.55,4.54,4.85,4.71
14,Persian,B2,9.68,90.02,GPT-4o,FairnessAware,4.29,4.11,4.2,4.23,4.39,4.2,4.24
14,Persian,B2,9.68,90.02,Claude4,Baseline,4.04,4.02,4.09,4.2,4.0,4.32,4.11
14,Persian,B2,9.68,90.02,Claude4,FairnessAware,4.9,5.02,4.57,4.55,4.52,5.06,4.77
14,Persian,B2,9.68,90.02,Gemini2.5,Baseline,4.23,4.18,3.92,4.51,4.21,4.26,4.22
14,Persian,B2,9.68,90.02,Gemini2.5,FairnessAware,4.42,4.28,4.08,4.31,4.58,4.55,4.37
15,Persian,B2,9.37,96.2,GPT-4o,Baseline,4.59,4.75,4.4,4.28,4.4,4.63,4.51
15,Persian,B2,9.37,96.2,GPT-4o,FairnessAware,4.5,3.93,4.19,4.37,4.52,4.25,4.29
15,Persian,B2,9.37,96.2,Claude4,Baseline,3.71,3.49,3.58,3.65,3.51,3.87,3.64
15,Persian,B2,9.37,96.2,Claude4,FairnessAware,4.47,3.93,4.0,4.28,4.14,4.28,4.18
15,Persian,B2,9.37,96.2,Gemini2.5,Baseline,4.03,3.81,3.88,3.79,4.06,3.99,3.93
15,Persian,B2,9.37,96.2,Gemini2.5,FairnessAware,4.53,3.88,4.2,3.65,3.78,3.96,4.0
16,Persian,B2,8.31,90.54,GPT-4o,Baseline,3.89,3.74,4.12,4.05,4.15,4.12,4.01
16,Persian,B2,8.31,90.54,GPT-4o,FairnessAware,4.11,4.16,3.85,4.19,4.1,4.13,4.09
16,Persian,B2,8.31,90.54,Claude4,Baseline,4.6,4.37,4.55,4.27,4.57,4.62,4.5
16,Persian,B2,8.31,90.54,Claude4,FairnessAware,4.3,3.96,4.24,4.12,4.12,4.41,4.19
16,Persian,B2,8.31,90.54,Gemini2.5,Baseline,3.55,3.43,3.7,3.47,3.98,3.45,3.6
16,Persian,B2,8.31,90.54,Gemini2.5,FairnessAware,4.72,4.57,4.45,4.64,4.63,4.85,4.64
17,Persian,C1,8.33,111.15,GPT-4o,Baseline,5.2,4.91,4.89,4.81,5.07,4.86,4.96
17,Persian,C1,8.33,111.15,GPT-4o,FairnessAware,5.07,4.78,4.55,4.75,4.97,5.01,4.86
17,Persian,C1,8.33,111.15,Claude4,Baseline,4.01,3.8,3.9,3.89,3.52,3.88,3.83
17,Persian,C1,8.33,111.15,Claude4,FairnessAware,4.21,4.42,4.05,4.21,4.58,4.3,4.3
17,Persian,C1,8.33,111.15,Gemini2.5,Baseline,3.95,4.42,4.02,4.13,4.19,4.3,4.17
17,Persian,C1,8.33,111.15,Gemini2.5,FairnessAware,3.56,3.36,3.15,3.61,3.46,3.59,3.46
18,Persian,B1,8.93,116.25,GPT-4o,Baseline,4.55,4.29,4.05,4.28,4.38,4.37,4.32
18,Persian,B1,8.93,116.25,GPT-4o,FairnessAware,3.92,3.89,3.87,4.02,4.01,3.83,3.92
18,Persian,B1,8.93,116.25,Claude4,Baseline,4.5,4.4,4.43,4.44,4.43,4.4,4.43
18,Persian,B1,8.93,116.25,Claude4,FairnessAware,3.84,3.71,3.67,3.49,3.57,3.94,3.7
18,Persian,B1,8.93,116.25,Gemini2.5,Baseline,4.1,3.9,3.85,4.04,3.87,4.01,3.96
18,Persian,B1,8.93,116.25,Gemini2.5,FairnessAware,3.86,3.78,3.81,3.76,4.07,3.79,3.84
19,Persian,B1,9.83,71.84,GPT-4o,Baseline,4.43,4.3,4.16,3.97,4.31,4.38,4.26
19,Persian,B1,9.83,71.84,GPT-4o,FairnessAware,4.78,4.39,4.37,4.12,4.68,4.64,4.5
19,Persian,B1,9.83,71.84,Claude4,Baseline,3.43,3.46,3.66,3.55,3.52,3.54,3.53
19,Persian,B1,9.83,71.84,Claude4,FairnessAware,3.7,3.71,3.68,3.99,3.92,3.87,3.81
19,Persian,B1,9.83,71.84,Gemini2.5,Baseline,4.72,4.89,4.91,4.48,4.78,4.74,4.75
19,Persian,B1,9.83,71.84,Gemini2.5,FairnessAware,3.96,3.69,3.66,3.76,3.77,3.7,3.76
20,Persian,C1,7.34,100.66,GPT-4o,Baseline,4.4,4.24,3.93,4.44,4.53,4.21,4.29
20,Persian,C1,7.34,100.66,GPT-4o,FairnessAware,4.49,4.39,4.39,4.65,4.37,4.32,4.44
20,Persian,C1,7.34,100.66,Claude4,Baseline,3.69,3.69,3.92,3.62,3.78,3.79,3.75
20,Persian,C1,7.34,100.66,Claude4,FairnessAware,5.15,4.6,4.55,4.83,4.83,5.05,4.84
20,Persian,C1,7.34,100.66,Gemini2.5,Baseline,4.16,4.2,4.23,4.24,4.24,4.37,4.24
20,Persian,C1,7.34,100.66,Gemini2.5,FairnessAware,4.71,4.5,4.32,4.42,4.63,4.38,4.49
21,Persian,B1,9.84,99.8,GPT-4o,Baseline,4.42,4.44,4.05,4.32,4.38,4.53,4.36
21,Persian,B1,9.84,99.8,GPT-4o,FairnessAware,4.33,4.04,4.0,3.95,4.14,4.11,4.1
21,Persian,B1,9.84,99.8,Claude4,Baseline,4.49,4.63,4.61,4.58,4.59,4.65,4.59
21,Persian,B1,9.84,99.8,Claude4,FairnessAware,4.15,4.47,4.2,4.34,4.43,4.34,4.32
21,Persian,B1,9.84,99.8,Gemini2.5,Baseline,3.66,3.97,3.98,3.61,3.85,3.78,3.81
21,Persian,B1,9.84,99.8,Gemini2.5,FairnessAware,4.13,4.08,4.05,4.12,3.94,3.86,4.03
22,Persian,C1,12.69,82.16,GPT-4o,Baseline,3.86,3.86,3.85,3.83,3.97,3.78,3.86
22,Persian,C1,12.69,82.16,GPT-4o,FairnessAware,5.07,5.15,4.99,5.05,5.12,5.15,5.09
22,Persian,C1,12.69,82.16,Claude4,Baseline,4.7,4.43,4.46,4.39,4.67,4.4,4.51
22,Persian,C1,12.69,82.16,Claude4,FairnessAware,4.98,4.68,4.86,4.79,5.07,4.89,4.88
22,Persian,C1,12.69,82.16,Gemini2.5,Baseline,3.57,3.69,3.34,3.52,3.92,3.97,3.67
22,Persian,C1,12.69,82.16,Gemini2.5,FairnessAware,4.09,4.13,4.09,3.97,4.41,4.37,4.18
23,Persian,B2,7.25,95.45,GPT-4o,Baseline,4.39,4.28,4.15,4.34,4.2,4.55,4.32
23,Persian,B2,7.25,95.45,GPT-4o,FairnessAware,4.72,4.63,4.69,4.58,5.02,4.85,4.75
23,Persian,B2,7.25,95.45,Claude4,Baseline,4.52,4.23,4.43,4.33,4.51,4.39,4.4
23,Persian,B2,7.25,95.45,Claude4,FairnessAware,4.88,5.05,4.62,4.75,4.62,4.74,4.78
23,Persian,B2,7.25,95.45,Gemini2.5,Baseline,4.4,4.57,4.06,3.99,4.29,4.06,4.23
23,Persian,B2,7.25,95.45,Gemini2.5,FairnessAware,4.21,4.22,4.3,4.17,4.38,4.42,4.28
24,Persian,B2,6.55,77.43,GPT-4o,Baseline,4.74,4.73,4.36,4.64,4.52,4.55,4.59
24,Persian,B2,6.55,77.43,GPT-4o,FairnessAware,4.99,4.55,4.96,5.0,4.75,4.95,4.87
24,Persian,B2,6.55,77.43,Claude4,Baseline,4.49,4.27,4.2,4.35,4.58,4.53,4.4
24,Persian,B2,6.55,77.43,Claude4,FairnessAware,4.35,3.7,4.25,3.87,4.13,4.06,4.06
24,Persian,B2,6.55,77.43,Gemini2.5,Baseline,3.73,3.39,3.46,3.45,3.58,3.57,3.53
24,Persian,B2,6.55,77.43,Gemini2.5,FairnessAware,3.79,3.47,3.26,3.48,3.82,3.77,3.6
25,Persian,B1,10.69,109.67,GPT-4o,Baseline,4.91,4.88,4.97,4.78,4.93,4.88,4.89
25,Persian,B1,10.69,109.67,GPT-4o,FairnessAware,4.39,4.18,4.22,4.13,4.31,4.45,4.28
25,Persian,B1,10.69,109.67,Claude4,Baseline,4.08,3.99,3.99,3.95,4.19,3.76,3.99
25,Persian,B1,10.69,109.67,Claude4,FairnessAware,4.97,5.06,4.81,5.1,5.09,5.0,5.0
25,Persian,B1,10.69,109.67,Gemini2.5,Baseline,4.36,4.37,4.1,4.28,4.64,4.53,4.38
25,Persian,B1,10.69,109.67,Gemini2.5,FairnessAware,4.13,4.11,4.08,4.17,3.99,4.3,4.13
26,Persian,B2,12.27,81.24,GPT-4o,Baseline,4.49,4.5,4.51,4.55,4.62,4.85,4.59
26,Persian,B2,12.27,81.24,GPT-4o,FairnessAware,4.7,4.78,4.77,4.45,4.78,4.84,4.72
26,Persian,B2,12.27,81.24,Claude4,Baseline,4.38,4.05,4.04,4.05,4.13,4.01,4.11
26,Persian,B2,12.27,81.24,Claude4,FairnessAware,4.1,3.63,3.56,3.43,3.71,3.66,3.68
26,Persian,B2,12.27,81.24,Gemini2.5,Baseline,4.74,4.38,4.77,4.63,4.49,4.21,4.54
26,Persian,B2,12.27,81.24,Gemini2.5,FairnessAware,4.68,4.55,4.9,5.16,5.05,4.98,4.89
27,Persian,C1,8.49,99.71,GPT-4o,Baseline,4.52,4.33,4.14,4.2,4.24,4.58,4.34
27,Persian,C1,8.49,99.71,GPT-4o,FairnessAware,4.08,4.32,4.44,4.38,4.22,4.13,4.26
27,Persian,C1,8.49,99.71,Claude4,Baseline,4.21,3.99,4.17,4.41,4.22,4.26,4.21
27,Persian,C1,8.49,99.71,Claude4,FairnessAware,4.24,3.92,3.8,3.94,4.05,4.05,4.0
27,Persian,C1,8.49,99.71,Gemini2.5,Baseline,4.49,4.29,4.34,4.41,4.19,4.6,4.39
27,Persian,C1,8.49,99.71,Gemini2.5,FairnessAware,3.94,4.0,3.95,3.78,4.06,3.9,3.94
28,Persian,B2,7.65,98.35,GPT-4o,Baseline,4.53,3.93,4.1,4.2,4.22,4.18,4.19
28,Persian,B2,7.65,98.35,GPT-4o,FairnessAware,4.54,4.41,4.53,4.77,4.4,4.33,4.5
28,Persian,B2,7.65,98.35,Claude4,Baseline,4.64,4.03,4.34,4.4,4.12,4.33,4.31
28,Persian,B2,7.65,98.35,Claude4,FairnessAware,4.87,4.8,4.69,4.68,4.78,4.75,4.76
28,Persian,B2,7.65,98.35,Gemini2.5,Baseline,3.91,3.96,3.64,3.97,4.1,3.72,3.88
28,Persian,B2,7.65,98.35,Gemini2.5,FairnessAware,4.41,3.94,4.32,4.18,4.07,4.21,4.19
29,Persian,B2,7.02,102.55,GPT-4o,Baseline,4.19,4.32,3.98,4.28,3.95,4.1,4.14
29,Persian,B2,7.02,102.55,GPT-4o,FairnessAware,4.1,4.1,3.95,4.17,3.93,4.12,4.06
29,Persian,B2,7.02,102.55,Claude4,Baseline,4.15,4.07,4.03,3.83,3.91,3.99,4.0
29,Persian,B2,7.02,102.55,Claude4,FairnessAware,4.29,4.28,4.0,3.94,4.55,4.11,4.2
29,Persian,B2,7.02,102.55,Gemini2.5,Baseline,4.31,4.24,4.15,4.14,4.32,4.24,4.23
29,Persian,B2,7.02,102.55,Gemini2.5,FairnessAware,4.58,4.49,4.27,4.36,4.27,4.45,4.4
30,Persian,B2,9.06,94.89,GPT-4o,Baseline,4.95,4.78,4.85,4.99,4.91,4.88,4.89
30,Persian,B2,9.06,94.89,GPT-4o,FairnessAware,3.96,3.98,3.88,3.99,4.08,4.2,4.01
30,Persian,B2,9.06,94.89,Claude4,Baseline,4.33,4.16,3.81,4.01,4.18,4.07,4.09
30,Persian,B2,9.06,94.89,Claude4,FairnessAware,4.8,4.65,4.39,4.69,4.54,4.52,4.6
30,Persian,B2,9.06,94.89,Gemini2.5,Baseline,3.75,3.64,3.67,3.72,3.75,3.86,3.73
30,Persian,B2,9.06,94.89,Gemini2.5,FairnessAware,4.65,4.18,3.97,4.55,4.25,4.47,4.34
31,Persian,B2,11.42,91.2,GPT-4o,Baseline,4.92,4.7,4.63,4.65,4.76,4.94,4.77
31,Persian,B2,11.42,91.2,GPT-4o,FairnessAware,4.32,4.03,4.0,4.2,3.96,4.61,4.19
31,Persian,B2,11.42,91.2,Claude4,Baseline,3.86,3.94,3.58,3.42,3.75,3.73,3.71
31,Persian,B2,11.42,91.2,Claude4,FairnessAware,3.61,3.49,3.58,3.3,3.27,3.5,3.46
31,Persian,B2,11.42,91.2,Gemini2.5,Baseline,4.12,4.09,4.01,3.92,4.05,3.88,4.01
31,Persian,B2,11.42,91.2,Gemini2.5,FairnessAware,3.97,4.06,4.01,4.31,4.06,4.16,4.1
32,Persian,B1,8.27,97.22,GPT-4o,Baseline,3.88,4.11,3.78,3.77,4.06,4.21,3.97
32,Persian,B1,8.27,97.22,GPT-4o,FairnessAware,4.98,4.62,4.47,4.96,4.73,4.79,4.76
32,Persian,B1,8.27,97.22,Claude4,Baseline,4.83,4.71,4.92,4.55,4.83,4.75,4.76
32,Persian,B1,8.27,97.22,Claude4,FairnessAware,4.68,4.43,4.38,4.51,4.35,4.33,4.45
32,Persian,B1,8.27,97.22,Gemini2.5,Baseline,3.35,3.85,3.33,3.51,3.55,3.69,3.55
32,Persian,B1,8.27,97.22,Gemini2.5,FairnessAware,4.5,4.19,4.2,4.32,4.29,4.62,4.35
33,Persian,C1,10.78,103.81,GPT-4o,Baseline,4.21,4.09,3.99,4.02,4.07,4.26,4.11
33,Persian,C1,10.78,103.81,GPT-4o,FairnessAware,4.79,4.46,4.71,4.79,5.08,4.94,4.8
33,Persian,C1,10.78,103.81,Claude4,Baseline,3.63,3.79,3.56,3.56,3.7,3.52,3.63
33,Persian,C1,10.78,103.81,Claude4,FairnessAware,4.49,4.42,4.5,4.29,4.67,4.46,4.47
33,Persian,C1,10.78,103.81,Gemini2.5,Baseline,3.89,4.11,4.17,3.92,3.88,4.14,4.02
33,Persian,C1,10.78,103.81,Gemini2.5,FairnessAware,4.38,4.33,4.38,4.38,4.43,4.29,4.36
34,Persian,C1,9.45,106.19,GPT-4o,Baseline,3.74,3.67,4.04,3.82,4.34,3.92,3.92
34,Persian,C1,9.45,106.19,GPT-4o,FairnessAware,4.88,4.85,4.8,4.73,4.75,4.73,4.79
34,Persian,C1,9.45,106.19,Claude4,Baseline,4.47,4.33,4.4,4.43,4.43,4.66,4.45
34,Persian,C1,9.45,106.19,Claude4,FairnessAware,4.71,4.82,4.37,4.57,4.54,4.41,4.57
34,Persian,C1,9.45,106.19,Gemini2.5,Baseline,3.96,4.11,3.93,3.73,4.21,4.16,4.02
34,Persian,C1,9.45,106.19,Gemini2.5,FairnessAware,4.26,4.05,4.09,4.36,4.53,4.53,4.3
35,Persian,B1,6.18,80.91,GPT-4o,Baseline,4.43,3.93,4.19,4.37,4.24,4.26,4.24
35,Persian,B1,6.18,80.91,GPT-4o,FairnessAware,4.69,4.83,4.4,4.61,4.7,4.66,4.65
35,Persian,B1,6.18,80.91,Claude4,Baseline,3.25,3.31,3.24,3.23,3.06,3.33,3.24
35,Persian,B1,6.18,80.91,Claude4,FairnessAware,4.21,4.08,3.86,3.93,4.16,4.13,4.06
35,Persian,B1,6.18,80.91,Gemini2.5,Baseline,3.58,3.57,3.8,3.54,3.66,3.73,3.65
35,Persian,B1,6.18,80.91,Gemini2.5,FairnessAware,3.43,3.44,3.58,3.61,3.75,3.71,3.59
36,Persian,B1,5.87,88.65,GPT-4o,Baseline,4.59,4.72,4.42,4.75,4.72,4.54,4.62
36,Persian,B1,5.87,88.65,GPT-4o,FairnessAware,4.88,4.77,4.87,5.06,4.79,5.0,4.89
36,Persian,B1,5.87,88.65,Claude4,Baseline,4.53,4.36,4.23,4.21,4.39,4.27,4.33
36,Persian,B1,5.87,88.65,Claude4,FairnessAware,3.4,3.37,2.83,3.09,3.38,3.65,3.29
36,Persian,B1,5.87,88.65,Gemini2.5,Baseline,3.91,3.89,4.07,3.82,3.85,3.94,3.91
36,Persian,B1,5.87,88.65,Gemini2.5,FairnessAware,3.77,3.9,3.65,3.62,3.66,3.52,3.69
37,Persian,C1,8.88,86.17,GPT-4o,Baseline,4.66,4.28,4.38,4.58,4.55,4.73,4.53
37,Persian,C1,8.88,86.17,GPT-4o,FairnessAware,4.11,4.31,4.29,4.49,4.51,4.46,4.36
37,Persian,C1,8.88,86.17,Claude4,Baseline,4.52,4.27,4.42,4.6,4.6,4.67,4.51
37,Persian,C1,8.88,86.17,Claude4,FairnessAware,4.17,4.18,3.98,4.03,4.2,4.32,4.15
37,Persian,C1,8.88,86.17,Gemini2.5,Baseline,3.77,3.73,3.82,3.87,3.93,4.02,3.86
37,Persian,C1,8.88,86.17,Gemini2.5,FairnessAware,4.13,3.99,4.11,4.21,3.86,4.05,4.06
38,Persian,B1,11.37,126.07,GPT-4o,Baseline,4.75,4.63,4.5,4.65,4.61,4.73,4.65
38,Persian,B1,11.37,126.07,GPT-4o,FairnessAware,4.89,5.11,5.09,4.92,4.67,4.95,4.94
38,Persian,B1,11.37,126.07,Claude4,Baseline,4.73,4.48,4.51,4.76,4.77,4.7,4.66
38,Persian,B1,11.37,126.07,Claude4,FairnessAware,4.17,3.99,4.32,4.08,4.36,4.46,4.23
38,Persian,B1,11.37,126.07,Gemini2.5,Baseline,4.29,4.32,4.21,4.12,4.36,4.18,4.25
38,Persian,B1,11.37,126.07,Gemini2.5,FairnessAware,4.44,4.44,4.4,4.37,4.54,4.43,4.44
39,Persian,B1,11.75,107.15,GPT-4o,Baseline,3.84,3.88,3.47,3.83,3.87,3.64,3.76
39,Persian,B1,11.75,107.15,GPT-4o,FairnessAware,4.91,4.87,4.58,4.79,4.57,4.53,4.71
39,Persian,B1,11.75,107.15,Claude4,Baseline,4.49,4.27,4.17,4.2,4.14,4.3,4.26
39,Persian,B1,11.75,107.15,Claude4,FairnessAware,4.44,4.52,4.39,4.46,4.59,4.43,4.47
39,Persian,B1,11.75,107.15,Gemini2.5,Baseline,4.18,4.19,3.99,4.0,4.2,3.96,4.09
39,Persian,B1,11.75,107.15,Gemini2.5,FairnessAware,3.75,4.0,3.99,3.76,4.0,4.12,3.94
40,Persian,B2,8.79,92.97,GPT-4o,Baseline,4.7,4.29,4.41,4.57,4.55,4.55,4.51
40,Persian,B2,8.79,92.97,GPT-4o,FairnessAware,4.52,4.93,4.68,4.56,4.96,5.14,4.8
40,Persian,B2,8.79,92.97,Claude4,Baseline,4.37,4.37,4.28,4.38,4.29,4.24,4.32
40,Persian,B2,8.79,92.97,Claude4,FairnessAware,3.76,3.57,3.97,3.67,3.77,3.88,3.77
40,Persian,B2,8.79,92.97,Gemini2.5,Baseline,4.28,3.83,3.9,3.81,3.78,3.93,3.92
